Strain,Genus,Species,Plating_Media,Source,Source_Notes,Phenotype,Available_Sequence,Other_Notes
SE00004,Scenedesmus ,dimorphus,greenhouse standard,UTEX 1237,Isolated by Belcher (1979) and obtained from Kuwait Institute for Scientific Research. Used in aquaculture.,NA,18S-5.8S-28S,NA
SE00007,Chlorella ,sorokiniana,greenhouse standard,UTEX 2805,isolated by J-P Hernandez (8/03) in wastewater of La Paz BCS Mexico,Single-celled freshwater alga that is emerald-green in color. It is spherical in shape about 2-10 μm in diameter and is without flagella. Cells usually solitary but may form small groups. Freshwater terrestrial species found in Germany and China.,18S-5.8S-28S,wild type representative
SE00013,Tetraselmis,sp,30AS1-307-T 1% agar,UTEX LB 232,NA,Saltwater unicellular algae that is ~10-15 μm in length. Cells are nearly rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,when grown in 42AS1-307-T approximately 50% of cells were motile
SE00017,Spirulina ,maxima,BG-11 0.5% agar,UTEX 2342,isolated by M Lefevre (1963) in Natron Lake Chad,Freshwater filamentous blue-green algae that is free-floating in clusters or mats. Usually coiled along the whole trichome length.,16S-23S,wild type representative
SE00027,Tetraselmis,suecica,MASM 16 1% agar,UTEX LB 2286,isolated by M Bernhard (1961) in La Spezia Italy,NA,ITS1-ITS2,strain of interest for salt water projects
SE00036,Synechocystis ,sp,BG-11,NA,isolated in Berkeley California (1968),Freshwater solitary unicellular and spherical in shape. Capable of both heterotrophic and phototrophic growth. First photosynthetic organism for which the entire genome sequence was determined.,16S-23S,wild type representative
SE00039,Synechococcus,elongatus,BG-11,NA,Isolated by Frenkel (1950) in Angelica Rock Massachusetts (1950). Identified in Germany (1925).,Unicellular rod-shaped blue-green alga. Cells are usually solitary and able to swim despite lacking cilia or flagella. Photoautotrophic and oligotrophic having the ability to survive in freshwater environments with low nutrients.,16S-23S,wild type representative
SE00050,Chlamydomonas ,reihardtii,greenhouse standard,NA,NA,Freshwater unicellular green alga about 10 µm in diameter that swims with two flagella. Usually spherical containing a singular chloroplast and a prominent eyespot. Used as a model organism for research on fundamental questions in cell and molecular biology.,18S-5.8S-28S,NA
SE00070,Scenedesmus ,dimorphus,TAP,NA,original chloroplast transformant of SE00004,NA,NA,NA
SE00084,Chlamydomonas ,reihardtii,greenhouse standard,lab,C. reinhardtii 1691 MT- y1 allele,Freshwater unicellular green alga about 10 µm in diameter that swims with two flagella. Usually spherical containing a singular chloroplast and a prominent eyespot.,18S-5.8S-28S,NA
SE00085,Scenedesmus ,dimorphus,greenhouse standard,UTEX B 746,isolated by R McMillan,Freshwater unicellular algae that is 2-10 μm in length. Cells are nearly spherical to ellipsoidal elongate or fusiform to elongate fusiform. Forms linear 2-32 celled although usually 4-8 celled coenobia. Prefer eutrophic water with slight acidity but only low salinity with optimal temperature between 28-30 degrees Celsius.,18S-5.8S-28S,wild type representative
SE00086,Chlorella ,vulgaris,greenhouse standard,UTEX 2714,isolated by LE Gonzalez (8/94) in wastewater-treatment stabilization pond Santa fe de Bogota Colombia,Single-celled freshwater alga that is emerald-green in color. It is spherical in shape about 2-10 μm in diameter and is without flagella. Cells usually solitary but may form small groups.,18S-5.8S-28S,wild type representative
SE00087,Nannochloropsis ,salina,MASM 16,CCAP 849/4,Isolated by Droop (1965) in rock pool Skate Point Isle of Cumbrae Scotland. Authority of (Hibberd) Fawley Jameson and Fawley (2015).,NA,18S-5.8S-28S,Wild type representative. Same as SE00087.
SE00088,Nannochloropsis ,salina,MASM 16,CCMP1776,Isolated by Droop (1965) in rock pool Skate Point Isle of Cumbrae Scotland. Robust and high lipid. Known temperature range 14-22 degrees Celsius.,NA,18S-5.8S-28S,Wild type representative. Same as SE50023.
SE00107,Desmodesmus ,armatus,greenhouse standard,NA,"isolated by Juergen Polle ""Scene 09""",NA,18S-5.8S-28S,main IABR strain for cultivation
SE50020,Nannochloropsis ,sp,greenhouse standard,NA,isolated by I Hopkins and FR Trainor,NA,NA,NA
SE50024,Nannochloropsis ,gaditana,greenhouse standard,NA,NA,NA,NA,NA
SE50025,Nannochloropsis ,oceanica,MASM 16,CCAP 211/46,Isolated by Belcher (1979) obtained from Kuwait Institute for Scientific Research. Used in aquaculture.,NA,NA,most resistant to FD111 of those screened in 2015
SE50028,Nannochloropsis ,salina,MASM 16,CCAP 849/8,Isolated by Li in Qingdao. Authority of Suda and Miyashita (2002).,NA,NA,NA
SE50029,Nannochloropsis ,salina,MASM 16,CCAP 849/9,isolated by Kitajima in Japan,NA,NA,NA
SE50054,Tetraselmis,apiculata,MASM 16 1% agar,UTEX 2562,isolated by RW Butcher in salt marsh of Marine House Lincolnshire England,NA,ITS1-ITS2,strain of interest for salt water projects
SE50143,Tetraselmis,sp,30AS1-307-T 1% agar,CCMP890,Isolated by Butcher (1958) in North Sea Cresswell Northumberland England. Robust and temperate. Known temperature range 11-16 degrees Celsius.,Unicellular algae that is 13-15 μm in length. Cells are rounded ellipsoidal. Flagellated at one end of the cell.,ITS1-ITS2,submitted
SE50153,Chlamydomonas ,reihardtii,greenhouse standard,IABR parent strain SE00050,NA,NA,18S-5.8S-28S,Strain evolution. MT+ NaCl resistant mutants. Improved salt tolerance.
SE50154,Chlamydomonas ,reihardtii,TAP,NA,NA,NA,18S-5.8S-28S,Strain evolution. MT+ NaCl resistant mutants. Improved salt tolerance.
SE50279,Chlamydomonas  ,reihardtii,TAP,CC-125,wild type mt+ [137c] from Boynton-Gillham laboratory Duke University. This is the basic “137c” wild type strain originally islated by GM Smith (1945) near Amherst MA and is presumably equivalent to strain 11/32c of the Culture Centre of Algae and Protozoa. This particular strain was brought to Duke by NW Gillham in 1968 from RP Levine’s laboratory at Harvard. It carries the nit1 and nit2 mutations and cannot grow on nitrate as their sole N source. It carries the AGG1 (agg1+) allele for phototactic aggregation. It is the background strain for many mutations including CC-503 cw92 mt+ which was the source of DNA used for genomic sequencing.,Freshwater unicellular green alga about 10 µm in diameter that swims with two flagella. Usually spherical containing a singular chloroplast and a prominent eyespot. Used as a model organism for research on fundamental questions in cell and molecular biology.,18S-5.8S-28S,NA
SE50280,Chlamydomonas ,reihardtii,TAP,CC-400,cw15 mt+ from K-S Chiang at University of Chicago. Originally from SJ Surzycki and brought to Duke by David Grant (1978). This is the most widely used wall-deficient mutant and this mutation is present in many strains in the Chlamydomonas Resource Center collection. Davies characterized it as a mutant in his class C defined as mutants in which cell walls are absent or produced in greatly reduced quantity compared to wild type. Wall-deficient mutants form flat liquid colonies on agar and the cells lyse in a 1% solution of the nonionic detergent NP-40. The original stock required 0.2% sodium acetate for growth in liquid and was quite sensitive to pH and/or CO2. This single clone isolate does not require acetate and is not sensitive.,Freshwater unicellular green alga about 10 µm in diameter that swims with two flagella. Usually spherical containing a singular chloroplast and a prominent eyespot. Used as a model organism for research on fundamental questions in cell and molecular biology.,18S-5.8S-28S,NA
SE50281,Chlamydomonas ,reihardtii,TAP,CC-849,cw10 mt- from Culture Centre of Algae and Protozoa (CCAP) January 1980. Wall deficient phenotype. This is an allele of the more frequently used mutant cw15.,Freshwater unicellular green alga about 10 µm in diameter that swims with two flagella. Usually spherical containing a singular chloroplast and a prominent eyespot. Used as a model organism for research on fundamental questions in cell and molecular biology.,NA,NA
SE50351,Leptolyngbya ,sp,BG-11,Golden Lab at UCSD,NA,Long thin filamentous strands that are covered with colorless sheaths at the apical end. Strands are usually solitary but may form mats. BL0902 is amenable to genetic engineering and shows robust growth at temperatures from 22-40 degrees Celsius and tolerated up to 0.5 M NaCl 32 mM urea high pH and high solar irradiance.,16S-23S,BC104 also called C0902. Wild type representative.
SE50359,Arthrospira ,platensis,BG-11,NA,Spirulina pond culture,Multicellular filamentous cyanobacterium. Each unbranched cylindrical filament of cells is called a trichome and is approximately 5 µm in diameter. Filaments are unbranched coiled solitary and free floating but can form mats. Photoautotrophic and have a resistance to high salt concentrations. Conditions for optimal growth is a temperature range of 30-34 degrees Celsius and a pH range of 8.5-11. The maximum growth of the species is achieved on the fourth or fifth day of cultivation.,16S-23S,Clone isolated by sorting. Used for GMO transformation experiments. Wild type representative.
