Group,Class,Type,Example,Notes,Pros,Cons,Typical Concentration,Worth Pursuing
Chemical,Disinfectant,NA,2-4-dichlorobenzyl alcohol,Similar effect as phenols,NA,No products registered for New Mexico,NA,No
Chemical,Herbicide,NA,2-4-dichlorophenoxyacetic acid (2-4-D),A component of Agent Orange,NA,No products registered for New Mexico,μg/L,Maybe
Chemical,Roticide,Organochlorine insecticide,3-4-dichloroaniline (DCA),Other studies suggest toxicity in the μg/L range,NA,NA,LC50 61.5 mg/L,No
Chemical,Disinfectant,Oxidising Agent,accelerated hydrogen peroxide,NA,NA,NA,NA,Maybe
Non-Chemical,Harvest,NA,acoustic focusing,US20120095245 patent. Nannochloropsis treatment. States use for harvesting but show data for removal of pests such as rotifers amoeba etc. Uses ultrasonic standing waves. Looks like removing pests by harvest.,NA,Needs to be part of the harvest process rather than pond treatment,NA,No
Non-Chemical,Culture,NA,add heat,CN202519240U patent. Nannochloropsis treatment.,Should work,Expensive,NA,No
Chemical,Disinfectant,Oxidising Agent,advanced oxidation,Mixture of ozone and UV makes hydroxyl radicals. Works for swimming pools.,Combination of UV and O3 is greater than the sum of its parts,Could be problematic with unfiltered water,NA,Maybe
Chemical,Roticide,Organochlorine insecticide,aldrin,NA,NA,No products registered for New Mexico,μg/L,Maybe
Chemical,Culture,Media chemistry,alkalinity or nutrient levels,Worked in past. Need to consider long term effects on water chemistry.,Efficacy shown. Could save money over time and alternative to cidal agents.,Could become expensive or be expensive up front,NA,Yes
Chemical,Culture,Media chemistry,allow total dissolved solids to cycle by evaporation,Not something that can be controlled. Will not deliberately manipulate.,Could be crop protective and would be a free way of using it,Cannot be controlled deliberately,Depends on strains and pest,No
Chemical,Disinfectant,NA,ammonia,Toxic to rotifers. Will be affected by pH so will not likely work at pH 8,NA,Might need too much. pH sensitive.,NA,Yes
Chemical,Disinfectant,NA,amylmetacresol,Used in throat lozenges,NA,No products registered for New Mexico,10 ppm,Maybe
Chemical,Disinfectant,Oxidising Agent,anolyte,NA,NA,NA,NA,Maybe
Chemical,Amoebicide,Polychlorinated biphenyl (PCB) mixture ,Aroclor 1254,NA,NA,No products registered for New Mexico,μg/L,Maybe
Chemical,Herbicide,NA,atrazine or Keystone or Fultime,Various formulations 12-26%. Label specifically states not to apply to water noting that it can leach through soil into groundwater. Maybe usable at LCTS and IABR. It is used in agriculture as a pre-emergent weed control option.,Used in agriculture and probably inexpensive,No products registered for New Mexico. There have been environmental issues in the past.,μg/L,No
Chemical,Herbicide,NA,benthiocarb (thiocarbamate cholinesterase inhibitor),Recommend research to confirm LC50,NA,No products registered for New Mexico,NA,No
Chemical,Roticide,NA,bifenthrin or malathion,Fleas a known problem at IABR,Efficacy shown,Regulatory approval required,<1 ppm,Yes
Chemical,Disinfectant,NA,bromine,Used in swimming and spa pools. Has some advantages over chlorine as it works better at high temperatures and bromamines are generally still active as compared to chloramines.,More versatile than chlorine in certain situations ,More expensive than chlorine. Reacts with light so more typically used in hot tubs than pools.,NA,Maybe
Chemical,Roticide,NA,cadmium,Exposure time increases toxicty,NA,NA,LC50 5-40 mg/L,No
Chemical,Roticide,Salt,cadmium chloride,NA,NA,No products registered for New Mexico,μg/L,Maybe
Chemical,Disinfectant,Oxidising Agent,calcium hypochlorite,Highly toxic to rotifers according to PAN Pesticide Database. More stable than sodium hypochlorite and could be added as a powder but should give the same result as bleach. By product is calcium instead of sodium. Patent using bleach only mentions sodium hypochlorite so other biocides and bleaching agents may not be covered.,Cheap tablets and slow release available,Residual effects and toxic reaction products,5 ppm for emergency treartment of drinking water or 1-2 mg/L,Yes
Chemical,Roticide,NA,carbaryl or Sevin,Sevin Brand RP4 Carbaryl Insecticide (43%),Possible broad spectrum efficacy,Expensive at $165 per gallon and resistance likely,μg/L,Maybe
Chemical,Roticide,NA,carbofuran,NA,NA,Ban on foods in US,NA,No
Chemical,Biopolymer,NA,chitin or chitosan,Could also be used for harvest,Approved biopesticide by EPA and approved for organic farm use,NA,NA,Maybe
Chemical,Disinfectant,Oxidising Agent,chloramine-T (N-chloro-p-toluenesulfonamide),Highly toxic to rotifers according to PAN Pesticide Database. More stable than chlorine but same efficacy and reaction is slower. Chloramines do not react with organics as often as chlorine does.,Few biproducts and active for long time. Used in water treatment.,If used with high organic load it can make organic chloramines that have little efficacy. May need to buy machinery to make it via chemical reaction. Not recommended in drinking water systems.,3 ppm,Yes
Chemical,Disinfectant,Oxidising Agent,chlorine,Could try tablets that dissolve slowly or benzylkonium tablets that do the same,NA,Residual effects,NA,NA
Chemical,Fungicide,NA,chlorothalonil (2-4-5-6-tetrachloroisophthalonitrile),Also roticide and antibacterial,Available from Dow but unknown if they have a modern product,NA,2-5 ppm,Maybe
Chemical,Disinfectant,NA,chloroxylenol,Ingredient in Dettol. Seems to be used at 159 ppm or higher and used as preservative in paints at 500 ppm.,NA,No products registered in New Mexico. High concentration needed.,NA,Maybe
Chemical,Roticide,Organophosphate insecticide,chlorpyrifos,Affects mictic rate. Originally labelled for mosquitoes.,Many options,Might require high rate,10000 μg/L,Maybe
